System_Ref,Name,Provider_Type_Description,Day_Care_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Telephone,Mobile,E_Mail,Web_Site2
10881,Wellness Course For Women At  Agnes Riley One O'Clock Club,Children's Centre Adult Learning,,Agnes Riley One O'clock Club,Atkins Road,,,London,SW12 0AH,020 8671 3298,,cc@maytree-school.org.uk,https://padlet.com/betterstartclaphambrixtonhill/Bookmarks
10792,Women's Group At Tree House Children's Centre,Children's Centre Adult Learning,,66 Upper Tulse Hill,,,,London,SW2 2RW,020 8674 6060,,cc@maytree-school.org.uk,https://padlet.com/betterstartclaphambrixtonhill/Bookmarks
11358,Illustrate A Book With Morley College At Ethelred Children's Centre,Children's Centre Adult Learning,,Ehelred Children's Centre ,Gundulf Street,,,London,SE11 6BG,020 7582 9711 Option 2,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.ethelrednursery.org.uk/childrens-centre.html
11367,Mosaic Course At Jessop Children's Centre,Children's Centre Adult Learning,,Jessop Children's Centre,Lowden Road,,,London,SE24 0BJ,020 7737 5164,07920 157 180,ccadmin@jessop.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
11278,Baby And Me At Jubilee Children's Centre,Children's Centre Adult Learning,,Jubilee Children's Centre,Tulse Hill,,,London,SW2 2JE,020 8678 6530,07961 517 043,bthcc@jubilee.lambeth.sch.uk,https://beta.lambeth.gov.uk/children-young-people-families/childrens-centres
11279,Making A Mosaic Course At Jubilee Children's Centre,Children's Centre Adult Learning,,Jubilee Children's Centre,Tulse Hill,,,London,SW2 2JE,020 8678 6530,07961 517 043,bthcc@jubilee.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
11121,Get Going With Sewing At Benton's Lane Children's Centre,Children's Centre Adult Learning,,Benton's Lane Children's Centre ,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11125,Baby Massage 0 To 6 Months  At Benton's Lane Children's Centre,Children's Centre Adult Learning,,Benton's Lane Children's Centre,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11148,Making It Real At Ethelred Children's Centre,Children's Centre Adult Learning,,Ethelred Children's Centre ,Gundulf Street,,,London,SE11 6BG,0207 582 9711 Opt 2,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.ethelrednursery.org.uk/training-and-courses.html
10926,Keeping It Real At Benton's Lane Children's Centre,Children's Centre Adult Learning,,Benton's Lane Children's Centre ,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10913,Sewing Class At Jubilee Children's Centre,Children's Centre Adult Learning,,Jubilee Children Centre,Tulse Hill,,,London,SW2 2JE,0208 678 6530,07691 517 043,bthcc@jubilee.Lambeth.sch.uk,
10938,Making It Real At Hitherfield Children's Centre,Children's Centre Adult Learning,,Hitherfield Children’s Centre,Hitherfield Road,,,London,SW16 2LW,020 8835 9569,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10944,Chat And Play With A Better Start Worker At Streatham Hub Children's Centre,Children's Centre Adult Learning,,Streatham Hub Children's Centre,Streatham United Reformed Church ,388 Streatham High Road,,London,SW16 6HX,020 4548 2561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10947,Move And Groove At Sunnyhill Children's Centre,Children's Centre Adult Learning,,Sunnyhill Children's Centre,Harborough Road,,,London,SW16 2XW,020 4548 2561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11193,Citizen's Advice At Maytree Children's Centre,Children's Centre Financial Advice,,Maytree Children's Centre,4 Allingham Road,,,London,SW4 8EG,020 8671 3298,,cc@maytree-school.org.uk,https://www.clapham-manorcc.co.uk/current-events.html
10030,Womens Advice Surgery At Stockwell Children's Centre,Children's Centre Financial Advice,,Stockwell Children's Centre,Stockwell Road,,,London,SW9 9TG,020 7326 7328,07398 131 353,clericalofficer1@stockwell-pri.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10040,Citizens Advice At Stockwell Children's Centre,Children's Centre Financial Advice,,Stockwell Children's Centre ,Burgoyne Road,,,London,SW9 9QJ,020 7326 7328,07398 131 353,clericalofficer1@stockwell-pri.lambeth.sch.uk ,https://www.lambeth.gov.uk/childrenscentres
7440,Coin Street Under 20's Antenatal Group,Young Parent Support,,108 Stamford Street,,,,London,SE1 9NH,020 7021 1600,,familyandchildrenscentre@coinstreet.org,https://coinstreet.org/events/under-20s-antenatal-group/
10836,Waterloo Food Bank,Food Bank,,1A Kennington Road,,,,London,SE1 7QP,020 7921 4205,,foodbank@oasiswaterloo.org,https://waterloo.foodbank.org.uk/get-help/how-to-get-help/
10397,Lambeth Larder Emergency Food Support,Food Bank,,N/A online only,,,,,,,,,https://www.lambethlarder.org/emergency-food.html
10966,South London Warehouse (Clapham Park Foodbank),Food Bank,,St Margarets Church,Streatham Hill,,,London,SW2 3BH,020 8675 7661,07597 030 452,info@claphampark.foodbank.org.uk,https://claphampark.foodbank.org.uk/
10967,Vauxhall Foodbank,Food Bank,,Vauxhall Foodbank,105 Tyers Street,,,London,SE11 5HS,07398 860 992,,foodbank@christchurchlondon.org,https://vauxhall.foodbank.org.uk/
10968,Norwood & Brixton Foodbank,Food Bank,,South London Warehouse,c/o St Margarets Church,Barcombe Avenue,Streatham HIll,London,SW2 3BH,07722 121 108,,info@norwoodbrixton.foodbank.org.uk,https://norwoodbrixton.foodbank.org.uk/
11190,Women's Advice Surgery At Liz Atkinson Children's Centre,Children's Centre Activities,,Liz Atkinson Children's Centre,Mostyn Road,,,London,SW9 6PH,020 4530 5735,07572 156 582,lizatkinsoncc@jsfederation.org.uk,https://beta.lambeth.gov.uk/children-young-people-families/childrens-centres
11162,Cook Up With St Michaels At Henry Fawcett Children's Centre,Children's Centre Activities,,Henry Fawcett Children's Centre,Clayton Street,,,London,SE11 5BZ,020 7091 1282,,ccadmin@henryfawcett.lambeth.sch.uk,https://beta.lambeth.gov.uk/children-young-people-and-families/childrens-centres/register-your-family-use-better-start-services
11395,Meet And Greet For New Parents And Children At Benton's Lane Children's Centre,Children's Centre Activities,,Benton's Lane  Children's Centre ,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10187,Baby Massage At Sunnyhill Children's Centre,Children's Centre Activities,,Sunnyhill Children's Centre ,Harborough Road,,,London,SW16 2XW,020 4548 2561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10689,Baby Sensory Play At Stockwell Children's Centre,Children's Centre Activities,,Stockwell Children's Centre,Burgoyne Road,,,London,SW9 9QJ,020 7326 7328,07398 131 353,clericalofficer1@stockwell-pri.lambeth.sch.uk ,https://www.lambeth.gov.uk/childrenscentres
10118,Meet and Greet for New Parents and Children at Sunnyhill Children''s Centre,Children's Centre Activities,,Sunnyhill Children's Centre,Harborough Road,,,London,SW16 2XW,020 4548 2561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10048,Child Health Clinic At Stockwell Children's Centre,Children's Centre Health Visiting,,Stockwell Children's Centre ,Burgoyne Road,,,London,SW9 9QJ,020 7326 7328,07398131353,clericalofficer1@stockwell-pri.lambeth.sch.uk,
11355,Specialist Infant Feeding One One  Session At Henry Fawcett Children''s Centre,Children's Centre Health Visiting,,Henry Fawcett Children's Centre,Clayton Street,,,London,SE11 5BZ,020 7091 1282,,ccadmin@henryfawcett.lambeth.sch.uk,https://beta.lambeth.gov.uk/children-young-people-and-families/childrens-centres/register-your-family-use-better-start-services
11357,Child Health Clinic At Henry Fawcett Chidlren's Centre,Children's Centre Health Visiting,,Henry Fawcett Children's Centre,Clayton Street,,,London,SE11 5BZ,020 7091 1282,,ccadmin@henryfawcett.lambeth.sch.uk,https://beta.lambeth.gov.uk/children-young-people-and-families/childrens-centres/register-your-family-use-better-start-services
11183,Breastfeeding Support Group At Jubilee Children's Centre,Children's Centre Health Visiting,,Jubilee Children's Centre,Tulse Hill,,,London,SW2 2JE,,,lamccg.lambethinfantfeedingservice@nhs.net,
11135,Health Visitors Development Reviews At Ethelred Children's Centre,Children's Centre Health Visiting,,Ethelred Children's Centre,Gundulf Street,,,London,SE11 6BG,0207 582 9711 Option 2,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.ethelrednursery.org.uk/health-and-childrens-development.html
10924,Employment And Training Support  At Benton's Lane Children's Centre,Children's Centre Employment Support,,Benton's Lane Children's Centre ,18 Benton's Lane,,,London,SE27 9UD,02045423520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10027,Employment Support At Ethelred Children's Centre,Children's Centre Employment Support,,Ethelred Children's Centre ,Gundulf Street,,,London,SE11 6BG,020 7582 9711 Option 2,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.ethelrednursery.org.uk/getting-back-to-work.html
10158,Employment Support At Maytree Children's Centre,Children's Centre Employment Support,,Maytree Children's Centre,4 Allingham Road,,,London,SW4 8EG,020 8671 3298,,rpope@maytree-school.org.uk,https://padlet.com/betterstartclaphambrixtonhill/Bookmarks
10139,Young Parents Group At Loughborough Children's Centre,Children's Centre Young Parents,,Loughborough Children's Center ,Minet Road,,,London,SW9 7UA,0207 274 8374,,bthcc@jubilee.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10912,Co-Parenting For Young Parents With St Michaels Fellowship,Children's Centre Young Parents,,,,,,,,,,cope@stmichaelsfellowship.org.uk,
9906,Early Bird Parenting Programme Information Session - Virtual Sessions,Early Years SEND Advice And Support,,,,,,,,020 7926 9966,,earlybird@lambeth.gov.uk,
11103,Jigsaw Contact Service,Family Contact Centres,,St Michaels Fellowship,136 Streatham High Road,,,London,SW16 1BW,020 8835 9570,,admin@stmichaelsfellowship.org.uk,https://stmichaelsfellowship.org.uk/services/Jigsaw-Supervised-Contact-Service
11110,Swan Family Centre Lambeth,Family Contact Centres,,14 White Hart Street,,,,London,SE11 4EP,020 7733 7215,,lambeth@swanstaff.co.uk,https://naccc.org.uk/centres/swan-family-centre-main-centre/
7620,National Deaf Children Society Helpline,Charity,,"Ground Floor South, Castle House",37 - 45 Paul Street,,,London,EC2A 4LS,08080 800 8880,,ndcs@ndcs.org.uk,https://www.ndcs.org.uk/
2312,Wyvil Language Centre,Resource Base,Full Day Care,Wyvil Primary School,Wyvil Road,,,London,SW8 2TJ,020 7622 1164,,admin@wyvil-primary.lambeth.sch.uk,http://www.wyvilschool.org.uk/About-the-Speech-and-Language-Centre/
7691,Allen Edwards Speech And Language Resource Base,Resource Base,Full Day Care,Allen Edwards Primary School,Studley Road,,,London,SW4 6RP,020 7622 3985,,office@allenedwards.lambeth.sch.uk,http://www.ahttp://www.allenedwards.co.uk/
7698,Archbishop Sumner Speech And Language Resource Base,Resource Base,Full Day Care,Archbishop Sumners Church Of England Primary School,Reedworth Street,,,London,SE11 4PH,020 7735 2781,,info@absprimary.school,http://www.archbishop-sumners-primary.lambeth.sch.uk/
7699,Crown Lane Resource Base,Resource Base,Full Day Care,Crown Lane Primary School,Crown Lane,,,London,SW16 3HX,020 8670 4713,,enquiries@crownlane.lambeth.sch.uk,https://www.crownlane.lambeth.sch.uk/page/?title=SEND+Information+and+Contact&pid=18
7700,Dunraven Slcn Resource Base,Resource Base,Full Day Care,94 - 98 Leigham Court Road,,,,London,SW16 2QB,020 8696 5600,,info@dunraven.org.uk,http://www.dunraven.org.uk/
7701,Jubilee Hearing Impairment Resource Base,Resource Base,Full Day Care,Jubilee Primary School,Tulse Hill,,,London,SW2 2JE,020 8678 6530,,admin@jubilee.lambeth.sch.uk,http://www.jubilee.lambeth.sch.uk/
7702,Lark Hall Centre For Autism,Resource Base,Full Day Care,Larkhall Primary School,Smedley Street,,,London,SW4 6PH,020 7622 3820,,admin@larkhall.lambeth.sch.uk,http://www.larkhall.lambeth.sch.uk/centre-autism/statement/
7703,City Heights Asd Resource Base,Resource Base,Full Day Care,City Heights E-act Academy,33 Abbots Park,,,London,SW2 3PW,020 3691 4600,,admin@chea.org.uk,http://www.cityheightse-actacademy.org
7704,The Elmgreen School Hearing Impairment Resource Base,Resource Base,Full Day Care,The Elmgreen School,Elmcourt Road,,,London,SE27 9BZ,020 8766 5020,,admin@the-elmgreen-school.org.uk,http://www.the-elmgreen-school.org.uk/
7705,London Nautical Asd Resource Base,Resource Base,Full Day Care,The London Nautical School,61 Stamford Street,,,London,SE1 9NA,020 7928 6801,,admin@nautical.lambeth.sch.uk,http://www.lns.org.uk/
6704,Aurora House - Centre For Children With Autism,Resource Base,Full Day Care,Aurora House,22 Kennington Park Gardens,,,London,SE11 4AX,020 7735 2760,,office@aurorahouse.org.uk,http://www.aurorahouse.org.uk/
9341,Hill Mead Primary School - Resource Base,Resource Base,Full Day Care,Hillmead Primary School,Moorland Road,,,London,SW9 8UE,020 7274 9304,,admin@hillmead.org,http://www.hillmead.org/
4536,Kennington Park Academy (Primary Alternative Provision),Alternative Education,Full Day Care,Kennington Park Academy,20 Kennington Park Gardens,,,London,SE11 4AX,07854 265 950,,mwarne@plt.org.uk,https://plt.org.uk/our-acad/kennington-park-academy
3095,Park Campus Academy (Secondary Alternative Provision),Alternative Education,Full Day Care,Park Campus,Gipsy Road,,,London,SE27 9NP,07854 265 950,,mwarne@plt.org.uk,https://plt.org.uk/our-acad/park-campus-academy
874,The Livity School,Special Schools,Full Day Care, Adare Walk,,,,London,SW16 2PW,020 8769 1009,,admin@thelivity.lambeth.sch.uk,https://www.thelivityschool.co.uk/
802,Elm Court School,Special Schools,Full Day Care,Elm Court School,Elm Park,,,London,SW2 2EF,020 8674 3412,,admin@elmcourt.lambeth.sch.uk,http://www.elmcourt.lambeth.sch.uk/
803,Lansdowne School,Special Schools,Full Day Care,Lansdowne School,49 Combermere Road,,,London,SW9 9QD,020 7737 3713,,executiveheadteacher@lansdowne.lambeth.sch.uk,http://www.lansdowneschool.co.uk/
804,The Michael Tippett School,Special Schools,Full Day Care,The Michael Tippett School,Heron Road,,,London,SE24 0HZ,020 7326 5898,07505 859 701,contact@tmts.lambeth.sch.uk,http://www.tmts.me.uk/
805,Turney Primary And Secondary Special School,Special Schools,Full Day Care,Turney School,Turney Road,,,London,SE21 8LX,020 8670 7220,,office@turney.org.uk,http://www.turneyschool.co.uk
697,Rosemead Preparatory School & Nursery,Independent School,Full Day Care,Rosemead Preparatory School,70 Thurlow Park Road,,,London,SE21 8HZ,020 8670 5865,,admin@rosemeadprepschool.org.uk,https://www.rosemeadprepschool.org.uk/
698,The Whitehouse Prep & Woodentops Kindergarten,Independent School,Full Day Care,The Whitehouse Preparatory School,24 Thornton Road,,,London,SW12 0LF,020 8674 9514,,office@whitehouseschool.com,http://whitehouseschool.com/
699,Broomwood Hall School,Independent School,Full Day Care,Broomwood Hall School,3 Garrad's Road,,,London,SW16 1JZ,020 8682 8850,,broomwood@northwoodschools.com,https://www.northwoodschools.com/
701,Streatham & Clapham High School Junior Dept,Independent School,Full Day Care,Streatham Hill And Clapham High School,Wavertree Road,,,London,SW2 3SR,020 8674 6912,,admissions@schs.gdst.net,http://www.schs.gdst.net/
702, London Steiner School,Independent School,Full Day Care,9 Weir Road,,,,London,SW12 0LT,020 3417 3190,,office@londonsteinerschool.org,http://londonsteinerschool.org/
9395,St Saviour's Church Of England Primary School After School Club,After School Club,Out Of School Care,St Saviours Church Of England Primary School,Herne Hill Road,,,London,SE24 0AY,020 7274 7986,,admin@st-saviours.lambeth.sch.uk,http://www.stsaviourslambeth.co.uk/after-school-club/
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,After School Club,Out Of School Care,Kings Avenue School House,Kings Avenue,,,London,SW4 8BQ,07557 519 566,,nick@treetopsclubs.co.uk,
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),After School Club,Out Of School Care,Community Hall,Peabody Hill,,,London,SE21 8LA,07432 118 859,,info@4-all.org.uk,https://www.4-all.org.uk/whatwedo
3076,Bonneville Primary School - Carry On Café,After School Club,Out Of School Care,Bonneville Primary School,Bonneville Gardens,,,London,SW4 9LB,020 8673 1183,,admin@bonneville-primary.lambeth.sch.uk,https://www.bonneville-primary.lambeth.sch.uk/extended-services/
7286,La Retraite Rc Girls School - After School Club,After School Club,Out Of School Care,La Retraite Catholic School For Girls,Atkins Road,,,London,SW12 0AB,020 8673 5644,,schsec@laretraite.lambeth.sch.uk,http://www.laretraite.lambeth.sch.uk/28/latest-news/article/453/school-clubs
7281,Sally Kids Care,After School Club,Out Of School Care,244B - 244C Brixton Hill,,,,London,SW2 1HF,020 7998 7791,07882 736 378,sallykidscare@yahoo.co.uk,https://www.sallykidscare.co.uk/
7264,Glenbrook Primary School - After School Club,After School Club,Out Of School Care,Glenbrook Primary School,Clarence Avenue,,,London,SW4 8LD, 020 3253 1946,,basc@ghf.london,https://www.glenbrookprimary.co.uk/makebelieveplay
7727,Kids' City At St Leonards,After School Club,Out Of School Care,St Leonards Church Of England School,42 Mitcham Lane,,,London,SW16 6NP,07921 406 264,,stleonards@kidscity.org.uk,http://kidscity.org.uk/
7605,YPM After-School Club At St John's Angell Town,After School Club,Out Of School Care,St John's Angell Town Church Of England Primary School,85 Angell Road,,,London,SW9 7HH,020 7274 4503,07985 499 236,,
7245,Walnut Tree Walk Primary School - After School Club,After School Club,Out Of School Care,Walnut Tree Walk Primary School,Walnut Tree Walk,,,London,SE11 6DS,020 7735 1402,,admin@wtwschool.co.uk,http://www.wtwschool.co.uk/
7252,Dewdrops Play Scheme/nursery - After School Club,After School Club,Out Of School Care,1 - 4,The High Parade,Streatham High Road,,London,SW16 1EX,020 8769 8967,07872 105 369,,http://www.dewdropsnursery.co.uk/
7273,St Andrew's Church Of England Primary School - After School Club,After School Club,Out Of School Care,St Andrews Church Of England Primary School,Kay Road,,,London,SW9 9DE,020 7274 7012,,admin@standrewsce.lambeth.sch.uk,http://www.standrewsprimaryschoolstockwell.org/after-school-clubs/
7279,Pacca Out Of School Project,After School Club,Out Of School Care,London City Mission Christian Centres,81 Lothian Road,,,London,SW9 6TS,,07908 506 192,pacca.outofschool@gmail.com,
7261,Fit For Sport At Paxton Primary School - After School Club,After School Club,Out Of School Care,Paxton Primary School,Woodland Road,,,London,SE19 1PA,0845 456 3233,,enquiries@fitforsport.co.uk,https://www.fitforsport.co.uk/activity-camps/find-your-nearest-camp/detail/paxton-primary-school?lat=51.4220811607367&lng=-0.0807707035546&id=152
7120,Young People Matter At The Old  Laundry - After School Club,After School Club,Out Of School Care,Residential Accommodation The Beehive,6 Crossford Street,,,London,SW9 9HQ,07985 499 236,,asc@youngpeoplematter.org,http://www.youngpeoplematter.org/
7075,YPM Childcare Provider at Granton,After School Club,Out Of School Care,Granton Primary School,Granton Road,,,London,SW16 5AN,07985 499 236,,,http://www.youngpeoplematter.org/
6138,Lily's Kids Klub,After School Club,Out Of School Care,Brixton Hill Methodist Church,Elm Park,,,London,SW2 2TX,020 8674 8678,07958 346 058,info@lilysdaynurseries.co.uk,https://www.lilyskidsklub.co.uk/out-school-care/
6198,Fenstanton Infant School - After School Club,After School Club,Out Of School Care,Fenstanton Primary School,Abbots Park,,,London,SW2 3PW,020 3253 1946,,basc@ghf.london,https://www.fenstantonprimary.co.uk/makebelieveplay
6585,Jessop Primary School - After School Club,After School Club,Out Of School Care,Jessop School,Lowden Road,,,London,SE24 0BJ,020 7274 2333,,admin@jessop.lambeth.sch.uk,https://www.jessopprimary.org.uk/Pupils/Extracurricular-Activies-and-Clubs/
6019,Ashmole Primary School Edc - Extended Day Care,After School Club,Out Of School Care,Ashmole Primary School,Ashmole Street,,,London,SW8 1NT,,,,https://www.ashmoleprimaryschool.org.uk/Extended-Day-Care/
6033,Immanuel And St Andrew C Of E Primary School - After School Club,After School Club,Out Of School Care,Immanuel And St Andrew Primary School,Buckleigh Road,,,London,SW16 5SL,020 8679 5005,,sbm@immanuelschoollambeth.org.uk,https://www.immanuelschoollambeth.org/Breakfast-and-Afters-Club/
6026,Heathbrook Primary School - After School Club,After School Club,Out Of School Care,Heathbrook Primary School,St Rule Street,,,London,SW8 3EH,020 7622 4101,,admin@heathbrook.lambeth.sch.uk,http://www.heathbrook.org/school-life/breakfast-after-school-clubs/heath-kidz-school-club/
6126,Corpus Christi Catholic Primary School - After School Club,After School Club,Out Of School Care,Corpus Christi Roman Catholic Primary School,Trent Road,,,London,SW2 5BL,020 7274 4722,,office@corpus-christi.org.uk,https://www.corpuschristischool.co.uk/parents/extended-day-offer
6128,Clapham Manor Primary School - After School Club,After School Club,Out Of School Care,Clapham Manor Primary School,Belmont Road,,,London,SW4 0BZ,020 7622 3919,,cstephenson@claphammanor.lambeth.sch.uk,http://claphammanor.lambeth.sch.uk/wp/extension-clubs
6129,Streatham Wells Primary School - After School Club,After School Club,Out Of School Care,Streatham Wells Primary School,50 Palace Road,,,London,SW2 3NJ,020 8674 3742,,cplummer-williams@streathamwells.lambeth.sch.uk,http://www.streathamwells.lambeth.sch.uk/about-us/after-school-club/
5391,Butterfly After School Club,After School Club,Out Of School Care,St Martins Community Centre,Abbots Park Road St Martins Estate,,,London,SW2 3PW,07527 015 064,,,
5836,Oakden Kids Club,After School Club,Out Of School Care,Archbishop Sumners Church Of England Primary School,Reedworth Street,,,London,SE11 4PH,07723 069 535,,,
4842,Kids' City At Sudbourne Primary School - After School Club,After School Club,Out Of School Care,Sudbourne Primary School,Hayter Road,,,London,SW2 5AP,07590 963 239,,info@kidscity.org.uk,http://kidscity.org.uk/
4817,St Stephen's Church Of England Primary School - After School Club,After School Club,Out Of School Care,St Stephens Church Of England Primary School,Dorset Road,,,London,SW8 1EJ,020 7735 1540,,ccadmin@st-stephens.lambeth.sch.uk,http://www.st-stephens.lambeth.sch.uk/extended_service.html
972,Hitherfield Primary School - Breakfast Club,Breakfast Club,Out Of School Care,Hitherfield Primary School,Leigham Vale,,,London,SW16 2JQ,020 8769 8428,,breakfastandafterschoolclub@hitherfield.co.uk,https://www.hitherfield.co.uk/parents/basc
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Breakfast Club,Out Of School Care,Immanuel And St Andrew Primary School,Buckleigh Road,,,London,SW16 5SL,020 8679 5005,,sbm@immanuelschoollambeth.org.uk,https://www.immanuelschoollambeth.org/Breakfast-and-Afters-Club/
975,Oasis Academy Johanna - Breakfast Club,Breakfast Club,Out Of School Care,Oasis Academy Johanna,Johanna Street,,,London,SE1 7RH,020 7928 5814,,breakfast@oasisjohanna.org,http://www.oasisacademyjohanna.org/content/contact-us
924,Hurley Pre-School,Breakfast Club,Out Of School Care,Hurley Pre School,Hurley House,Kempsford Road,,London,SE11 4PB,020 7582 1838,,hurleypreschool@gmail.com,http://www.hurleypre-school.com/fees.html
942,Loughborough Primary School - Breakfast Club,Breakfast Club,Out Of School Care,Loughborough Primary School,Minet Road,,,London,SW9 7UA,020 7274 8374,,office@loughborough.lambeth.sch.uk,https://www.loughboroughprimarylambeth.org.uk/Parents/Breakfast-Afterschool-Clubs/
6590,Kingswood Primary School - After School Club,After School Club,Out Of School Care,Kingswood Primary School,Gipsy Road,,,London,SE27 9RD,020 8761 4827,,kingswood@ghf.london,http://www.gipsyhillfederation.org.uk/our-schools/kingswood-primary-school/breakfast-and-after-school-club
6588,Kings Avenue Primary School - After School Club,After School Club,Out Of School Care,Kings Avenue School House,Kings Avenue,,,London,SW4 8BQ,020 7622 1208,,office@kingsavenue.lambeth.sch.uk,http://www.kingsavenueschool.co.uk/after-school-hours
952,Whippersnappers Inclusive After School Club,After School Club,Out Of School Care,Lido,Brockwell Park,Dulwich Road,,London,SE24 0PA,020 7738 6633,,info@whippersnappers.org,http://whippersnappers.org/kids-and-teens/after-school-clubs/
925,Hurley Pre-School,After School Club,Out Of School Care,Hurley Pre School,Hurley House,Kempsford Road,,London,SE11 4PB,020 7582 1838,,hurleypreschool@gmail.com,http://www.hurleypre-school.com/fees.html
976,Oasis Academy Johanna - After School Club,After School Club,Out Of School Care,Johanna Primary School,Johanna Street,,,London,SE1 7RH,020 7928 5814,,info@oasisjohanna.org,http://www.oasisacademyjohanna.org/
890,Telferscot Primary School - After School Club,After School Club,Out Of School Care,Telferscot Primary School,Telferscot Road,,,London,SW12 0HW,020 8673 7362,,sburrows@telferscot.co.uk,https://www.telferscot.co.uk/Extended-School/
893,Christ Church Primary Sw9 - After School Club,After School Club,Out Of School Care,Christ Church Primary School,Cancell Road,,,London,SW9 6HN,020 7735 1343,,admin@christchurchschool.cc,http://www.christchurchschool.cc/after-school-club/
894,Durand Academy - After School Club,After School Club,Out Of School Care,Van Gogh Primary School (Hackford Site),Hackford Road,,,London,SW9 0RD,020 7735 8348,,info@durandacademy.com,https://www.vangoghprimary.org.uk/
897,Hitherfield Primary School - After School Club,After School Club,Out Of School Care,Hitherfield Primary School,Leigham Vale,,,London,SW16 2JQ,020 8769 8428,,breakfastandafterschoolclub@hitherfield.co.uk,https://www.hitherfield.co.uk/parents/basc
901,Rosendale Primary School After School Club,After School Club,Out Of School Care,Rosendale Primary School,Rosendale Road,,,London,SE21 8LR,020 8670 4962,07720 677 830,info@rosendale.cc,http://www.rosendale.cc/info-for-parents/extended-childcare/
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,After School Club,Out Of School Care,St Andrews Roman Catholic Primary School,Polworth Road,,,London,SW16 2ET,07484 906 477,,admin@st-andrewsrc.lambeth.sch.uk,http://twilightsclub.yolasite.com/
903,Stockwell Primary School - After School Club,After School Club,Out Of School Care,Stockwell Primary School,Stockwell Road,,,London,SW9 9TG,020 7274 7687,,clericalofficer2@stockwell-pri.lambeth.sch.uk,http://www.stockwell-pri.lambeth.sch.uk/Curriculum/Extended-School/
875,Allen Edwards Primary School - After School Club,After School Club,Out Of School Care,Allen Edwards Primary School,Studley Road,,,London,SW4 6RP,020 7622 3985,,office@allenedwards.lambeth.sch.uk,https://www.allenedwards.co.uk/wellbeing
877,Cherubins Day Nursery Ltd,After School Club,Out Of School Care,48 Palace Road,,,,London,SW2 3NJ,020 8671 3256,07904 455 153,managerlewisham@cherubinsdaynursery.co.uk,http://www.cherubinsdaynursery.co.uk/
882,Holmewood Nursery School - After School Club,After School Club,Out Of School Care,66 Upper Tulse Hill,,,,London,SW2 2RW,020 8674 2186,,admin@holmewood-nursery.lambeth.sch.uk,http://www.holmewoodnurseryschool.org.uk/breakfast-and-after-school-club.html
883,Loughborough Primary School - After School Club,After School Club,Out Of School Care,Loughborough Primary School,Minet Road,,,London,SW9 7UA,020 7274 8374,,office@loughborough.lambeth.sch.uk,http://www.loughboroughprimarylambeth.org.uk/
630,Aktiv-Fun,After School Club,Out Of School Care,"Flat 42, Belgravia House",,Clarence Avenue,,London,SW4 8HY,07581 054 996,,,
391,St Peters After School Club,After School Club,Out Of School Care,St Peters Church,Leigham Court Road,,,London,SW16 2NF,020 8670 9486,07910 272 319,,
297,Kids' City At St. Marys R.C. Primary School - After School Club,After School Club,Out Of School Care,St. Marys RC Primary School,Crescent Lane,,,London,SW4 9QJ,07850 003 604,,info@kidscity.org.uk,http://kidscity.org.uk/
476,Springfield Community Flat After School Club,After School Club,Out Of School Care,Springfield Community Health Centre,110 Union Road,,,London,SW8 2SH,020 7498 0777,07837 730 956,earlyyears@springfieldcommunityflat.com,https://www.springfieldcommunityflat.com/
